transaction_id,account_id,transaction_date,amount,transaction_type,status,merchant_name,category
TXN060,ACC006,2024-02-03,95.00,debit,completed,Hair Salon,personal_care
TXN061,ACC004,2024-02-04,120.00,debit,completed,Gas Station,transportation
TXN062,ACC007,2024-02-04,600.00,debit,completed,Credit Card Payment,credit_payment
TXN063,ACC002,2024-02-05,210.00,debit,completed,Home Depot,home_improvement
TXN064,ACC008,2024-02-05,2100.00,credit,completed,Contract Payment,income
TXN065,ACC005,2024-02-06,55.00,debit,completed,Coffee Shop,food_beverage
TXN066,ACC001,2024-02-06,400.00,debit,completed,Flight Booking,travel
TXN067,ACC009,2024-02-07,175.00,debit,completed,Doctor Visit,health
TXN068,ACC003,2024-02-07,90.00,debit,completed,Phone Accessories,shopping
TXN069,ACC010,2024-02-08,250.00,debit,completed,Auto Insurance,insurance
TXN070,ACC006,2024-02-08,320.00,debit,completed,Appliance Repair,home_improvement
TXN071,ACC004,2024-02-09,3000.00,credit,completed,Salary Direct Deposit,income
TXN072,ACC007,2024-02-09,140.00,debit,completed,Cable TV,utilities
TXN073,ACC002,2024-02-10,85.00,debit,completed,Restaurant,food_beverage
TXN074,ACC008,2024-02-10,750.00,transfer,completed,Investment Transfer,transfer
TXN075,ACC005,2024-02-11,195.00,debit,completed,Department Store,shopping
TXN076,ACC001,2024-02-11,65.00,debit,completed,Spotify,entertainment
TXN077,ACC009,2024-02-12,2800.00,credit,completed,Consulting Fee,income
TXN078,ACC003,2024-02-12,420.00,debit,completed,Home Security,utilities
TXN079,ACC010,2024-02-13,110.00,debit,completed,Gym Membership,health
TXN080,ACC006,2024-02-13,180.00,debit,completed,Pet Grooming,pets
TXN081,ACC004,2024-02-14,225.00,debit,completed,Valentine's Dinner,food_beverage
TXN082,ACC007,2024-02-14,500.00,debit,completed,Jewelry Store,shopping
TXN083,ACC002,2024-02-15,95.00,debit,completed,Car Wash,transportation
TXN084,ACC008,2024-02-15,2300.00,credit,completed,Project Payment,income
TXN085,ACC005,2024-02-16,160.00,debit,completed,Grocery Store,groceries
TXN086,ACC001,2024-02-16,75.00,debit,completed,Gaming Store,entertainment
TXN087,ACC009,2024-02-17,1900.00,credit,completed,Salary Direct Deposit,income
TXN088,ACC003,2024-02-17,310.00,debit,completed,Optometrist,health
TXN089,ACC010,2024-02-18,450.00,debit,completed,Rent Payment,housing
TXN090,ACC006,2024-02-18,135.00,debit,completed,Garden Center,home_improvement
TXN091,ACC004,2024-02-19,3500.00,credit,completed,Bonus Payment,income
TXN092,ACC007,2024-02-19,80.00,debit,completed,Magazine Subscription,entertainment
TXN093,ACC002,2024-02-20,245.00,debit,completed,Costco,groceries
TXN094,ACC008,2024-02-20,1000.00,transfer,completed,Retirement Fund,transfer
TXN095,ACC005,2024-02-21,125.00,debit,completed,Office Supplies,business
TXN096,ACC001,2024-02-21,55.00,debit,completed,Taxi,transportation
TXN097,ACC009,2024-02-22,2600.00,credit,completed,Contract Payment,income
TXN098,ACC003,2024-02-22,190.00,debit,completed,Hardware Store,home_improvement
TXN099,ACC010,2024-02-23,70.00,debit,completed,Barber Shop,personal_care
TXN100,ACC006,2024-02-23,380.00,debit,completed,Electronics Store,shopping
